"","participant.label","(Intercept)","flying.weight","diet.weight","electricity.weight","commute.weight","regional.weight","recycling.weight","gender","age","income","education","cc_concern.mean","total_co2","conservative_liberal.binary","conservative_liberal","policy.car.sub","policy.car.tax","policy.flying.sub","policy.flying.tax","policy.RE.sub","policy.RE.tax","policy.meat.tax","policy.meat.sub","policy.recycle.tax","policy.recycle.sub","policy.regional_food.sub","policy.regional_food.tax","policy.support.total","policy.car","policy.flying","policy.RE","policy.meat","policy.recycle","policy.regional_food","footprint.electricity","footprint.regional","footprint.recycling","footprint.diet","footprint.travel.car","footprint.travel.bus","footprint.travel.train","footprint.flying","footprint.public.transport"
"1","54232b4bfdf99b328c91b253",2.56836979349347,2.23094125741884,0.642722481172399,0.856153583728361,0.310238839479934,0.590401102309541,0.78488546758085,"Male",38,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",5,7.4,"left-leaning",3,6,3,5,4,7,4,6,6,6,7,6,4,5.33333333333333,4.5,4.5,5.5,6,6.5,5,1.294697,-0.22,-0.0575,1.431,3.27168,0.6201,1.0944,0.36,0.85725
"2","542926d2fdf99b0b7ac2904e",2.60053703558689,0.72984285851284,1.48946798371112,0.0452928912291464,0.374908872423574,0.830934144490943,1.5886643982154,"Female",51,"< 18.000£","Further education",3.25,4.6,"left-leaning",5,6,2,5,3,5,2,1,6,1,6,6,2,3.75,4,4,3.5,3.5,3.5,4,1.294697,0,-0.0575,2.282,1.0872,0,0,0,0
"3","547272b4fdf99b44c5647418",2.5302296457842,3.89097586154592,1.37204280506207,1.09804255151375,0.392513635417615,0.878066915571123,1.07617113744406,"Male",59,"< 18.000£","Higher education (Bachelor, Master, PhD)",5.75,2.1,"left-leaning",3,7,6,5,7,5,3,5,3,4,7,3,6,5.08333333333333,6.5,6,4,4,5.5,4.5,0.1031,-0.44,-0.0575,1.431,1.0872,0,0,0.36,0
"4","54aefa06fdf99b09c01b37f4",2.45348756116815,0.94651630930512,0.784248112260363,0.727664694279866,0.19043823236506,0.581243174669443,0.980074578766997,"Female",50,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",6,3.3,"left-leaning",3,7,5,7,7,7,4,7,7,7,7,7,7,6.58333333333333,6,7,5.5,7,7,7,0.1031,-0.11,-0.0575,2.282,1.0872,0,0,0,0
"5","559d96aefdf99b1e448268e5",2.49159244727914,0.511815381842213,0.922534337601769,0.605372061706659,0.498366437489563,0.727932922428145,1.28002477187009,"Female",42,"> 45.001£","Higher education (Bachelor, Master, PhD)",5,5.3,"left-leaning",3,7,5,7,6,7,4,4,6,4,7,5,4,5.5,6,6.5,5.5,5,5.5,4.5,0.6988837,-0.22,-0.0575,2.282,0.2726,0,0.2909,2.07,0.14545
"6","55d09e4934e9060005e5729a",2.37371374903318,1.52540798344299,1.11640826873392,0.511295575760815,0.1501158675309,0.445541302701529,0.726991805732689,"Male",28,"< 18.000£","Further education",4.5,4.2,"right-leaning",6,7,2,7,5,3,1,4,2,1,7,7,6,4.33333333333333,4.5,6,2,3,4,6.5,1.294697,-0.44,-0.0575,3.16,0.2726,0,0,0,0
"7","560925acd7def20005b7362a",2.5408706987385,1.477533686798,0.714639202676159,0.502629652019812,0.294854782289035,0.523543126053125,0.875372936458715,"Male",55,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4.75,5.9,"left-leaning",4,7,3,6,4,5,3,2,5,3,5,5,5,4.41666666666667,5,5,4,3.5,4,5,1.294697,-0.22,-0.0575,1.431,3.27168,0.1555,0.0729,0.36,0.1142
"8","56296779c8ffc200055134c9",2.45460438325418,1.44471148677936,0.161012488134349,0.537568229577816,0.0885949136644885,0.242449748988139,0.496091708494186,"Male",49,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",1.75,4.2,"left-leaning",5,4,1,1,7,4,1,1,6,4,4,6,3,3.5,2.5,4,2.5,3.5,4,4.5,0.1031,-0.22,0,2.282,2.0414,0,0,0,0
"9","5655ac37d970d100058322c3",2.50864662098068,0.190885590024838,0.418755651740291,0.153664214868049,0.0376141594192242,0.168681552073763,0.401886363167403,"Male",32,"18.000£ to 23.000£","Higher education (Bachelor, Master, PhD)",4.75,3.1,"left-leaning",5,5,3,5,4,7,2,2,6,6,7,6,3,4.66666666666667,4,4.5,4.5,4,6.5,4.5,0.6988837,-0.33,-0.0575,2.282,0.2726,0.1555,0.0729,0.36,0.1142
"10","566e1aec744e3e0005b4e668",2.50613152584116,2.06828882745068,1.61013208489231,0.409162994420221,0.304545224154169,0.617254009737493,0.825538747495766,"Male",43,"< 18.000£","Further education",3.75,3.5,"left-leaning",5,5,4,5,4,5,4,4,5,4,5,5,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,1.294697,-0.33,-0.0575,2.282,0.2726,0,0,0,0
"11","56a80408c89737000b22bd37",2.45821778646143,2.22890700645444,0.483416179264313,1.21230324720527,0.388554290273699,0.774599632474722,1.22595634967044,"Male",48,"> 45.001£","Higher education (Bachelor, Master, PhD)",1.5,3.1,"right-leaning",6,6,1,3,2,2,1,1,1,1,6,5,2,2.58333333333333,3.5,2.5,1.5,1,3.5,3.5,0.6988837,-0.33,-0.0575,2.282,0.2726,0.1555,0.0729,0,0.1142
"12","56d33245321cae000b68d9e4",2.54694763690725,-0.324450748421339,1.12636356367454,0.347884978783901,0.585283828264807,0.56958900436457,0.877989954272079,"Male",66,"23.001£ to 30.500£","Further education",4.25,4.8,"right-leaning",10,3,1,2,1,5,6,1,6,1,5,6,7,3.66666666666667,2,1.5,5.5,3.5,3,6.5,1.294697,-0.22,0,2.282,0.2726,0.1555,0.0729,0.9,0.1142
"13","571a57e56a1c6300124bb6bd",2.52361740355253,1.69709175482542,1.24189732277514,0.573217622612709,0.265184659614511,0.695638933353623,1.06902503078997,"Female",64,"< 18.000£","Compulsory education",6,3.7,"right-leaning",7,6,3,5,7,5,2,3,4,5,7,5,6,4.83333333333333,4.5,6,3.5,3.5,6,5.5,1.294697,-0.33,-0.0575,2.282,0.2726,0.1555,0.0729,0,0.1142
"14","571a861d838a4e0013b1860a",2.4552027397441,0.59496051207656,0.283585920370819,0.654095709761753,0.329592989969073,0.463088302608023,0.90600345492503,"Male",51,"30.501£ to 45.000£","Further education",2.25,6,"left-leaning",2,7,1,4,2,7,1,1,4,1,1,7,1,3.08333333333333,4,3,4,2.5,1,4,0.6988837,-0.11,0,2.282,1.0872,0,0,2.07,0
"15","576fc3462984e70001a97fc3",2.49911326166086,2.11390602780813,1.31207112177243,0.686046734508772,0.344508752671328,0.801669536232665,1.26759795508222,"Male",32,"18.000£ to 23.000£","Higher education (Bachelor, Master, PhD)",6,3.4,"left-leaning",4,7,6,5,2,7,4,5,7,5,7,7,4,5.5,6.5,3.5,5.5,6,6,5.5,0.1031,-0.22,-0.0575,1.053,0.2726,0.1555,0,2.07,0.07775
"16","577e3a5025cb71000128727e",2.53673875798607,0.857572168258015,1.00091207800843,0.580576623604568,0.322537884592795,0.706086750608305,1.17922379634414,"Female",63,"< 18.000£","Further education",5.25,2.5,"left-leaning",5,7,3,6,7,5,1,6,6,7,5,7,4,5.33333333333333,5,6.5,3,6,6,5.5,0.1031,-0.22,-0.0575,1.431,1.0872,0.1555,0,0,0.07775
"17","577f91b84d107800016d9e69",2.54918884097123,2.6324945168986,0.820488763904391,0.867814086713547,0.352381101600603,0.713504235677008,1.04030046483422,"Male",70,"23.001£ to 30.500£","Further education",4.75,3.2,"right-leaning",6,6,4,5,5,6,6,4,5,6,6,6,7,5.5,5,5,6,4.5,6,6.5,0.6988837,-0.22,-0.0575,2.282,0.2726,0.1555,0.0729,0,0.1142
"18","58a085f6f6cc2100012af56e",2.58470096584022,2.19038970707743,1.89630917117008,0.803624540442896,0.471609711477461,0.983110109997674,1.25132538065206,"Male",46,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,3.1,"left-leaning",3,7,7,7,7,6,5,5,2,6,7,6,5,5.83333333333333,7,7,5.5,3.5,6.5,5.5,0.6988837,-0.22,-0.0575,2.282,0,0.1555,0.2909,0,0.2232
"19","5918a03738cc6d0001a4bde7",2.4981655191338,0.28132632462158,-0.0369456057629128,0.441763428149051,0.168927892124583,0.190585971326392,0.431648843310929,"Male",37,"> 45.001£","Higher education (Bachelor, Master, PhD)",1,2.3,"right-leaning",8,5,1,1,1,1,1,1,1,1,6,5,2,2.16666666666667,3,1,1,1,3.5,3.5,0.1031,-0.44,-0.0575,2.282,0.2726,0.1555,0,0,0.07775
"20","594a8e2eeaa18e000163f6cd",2.56633122963182,2.36422371598932,-1.78511812906341,0.675229529217212,0.0682005792459102,-0.271814892517782,-0.268706378123988,"Female",46,"< 18.000£","Higher education (Bachelor, Master, PhD)",1,3.7,"right-leaning",9,6,1,1,1,1,1,1,1,1,5,5,1,2.08333333333333,3.5,1,1,1,3,3,1.294697,-0.33,0,2.282,0.2726,0.1555,0.0729,0.36,0.1142
"21","596e6e5cd7919800014b49b8",2.52491557971133,2.21557870072618,0.703460236334375,0.5302472876875,0.255348041015809,0.453941031601775,0.696369797115668,"Male",48,"30.501£ to 45.000£","Compulsory education",3,3.9,"left-leaning",3,7,1,5,4,4,2,1,5,3,7,5,4,4,4,4.5,3,3,5,4.5,0.6988837,-0.33,-0.0575,2.282,1.0872,0.1555,0.0729,0,0.1142
"22","597b652912b52100010ca9b2",2.61894710191023,1.92275527683303,1.02448489598365,0.995645687940289,0.454573600361236,0.865750354270027,1.15729157470447,"Female",23,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",6,3.3,"left-leaning",3,7,5,5,5,7,4,4,6,6,7,7,5,5.66666666666667,6,5,5.5,5,6.5,6,1.294697,-0.33,-0.0575,2.282,0,0.1555,0,0.36,0.07775
"23","597c6cdf21db3a0001418541",2.47574705243982,1.30334774854373,0.681848944898618,0.849021158506754,0.3994272623349,0.84417818375802,1.56154200011631,"Male",66,"23.001£ to 30.500£","Further education",3.25,3.9,"right-leaning",7,6,1,1,1,7,1,1,5,1,4,4,1,2.75,3.5,1,4,3,2.5,2.5,1.294697,0,-0.0575,2.282,0.2726,0,0.0729,0,0.03645
"24","59839cb9554956000142d95f",2.59295936850771,2.25408764662646,1.29469236887005,0.654237177171122,0.285032437688972,0.698264310943326,0.896268068154371,"Female",52,"< 18.000£","Compulsory education",6,1.4,"left-leaning",3,5,5,6,7,6,1,7,1,3,7,6,6,5,5,6.5,3.5,4,5,6,0.6988837,-0.33,-0.0575,1.053,0,0,0,0,0
"25","59a9c0291b7a550001d6392e",2.53231788204787,1.72184613519209,1.22835052904796,0.554918652287683,0.299372897606156,0.637515783214673,0.906667847388491,"Female",41,"< 18.000£","Higher education (Bachelor, Master, PhD)",3.75,5.5,"left-leaning",3,7,1,3,1,7,3,3,4,4,7,7,5,4.33333333333333,4,2,5,3.5,5.5,6,0.6988837,-0.33,-0.0575,2.282,2.0414,0,0,0.9,0
"26","59b193aff69f3400018671ba",2.49791268379017,1.09925015745619,0.519054134508749,0.455192983468261,0.202355925455513,0.377499379810021,0.675259071530924,"Male",54,"< 18.000£","Further education",3,1.2,"right-leaning",8,7,7,6,7,6,5,4,5,7,7,5,6,6,7,6.5,5.5,4.5,7,5.5,0.1031,-0.11,-0.0575,1.053,0,0.1555,0.0729,0,0.1142
"27","59baa4f5178f1b00018289b2",2.33492032173684,0.265780673086037,0.231517941247474,0.36305063794875,-0.0617800757710682,0.128963823849584,0.476659301685287,"Male",57,"23.001£ to 30.500£","Further education",1.75,3.6,"right-leaning",6,5,1,1,1,4,1,1,4,1,5,6,1,2.58333333333333,3,1,2.5,2.5,3,3.5,1.294697,-0.22,-0.0575,2.282,0.2726,0,0,0,0
"28","59e4b3a1896cfc0001921095",2.59785887340921,1.36703524041971,1.07730787058938,0.48190801719081,0.525457584906849,0.590340556829839,0.791909189948859,"Male",52,"< 18.000£","Higher education (Bachelor, Master, PhD)",6,0.9,"left-leaning",1,7,6,6,7,7,4,5,5,6,7,6,5,5.91666666666667,6.5,6.5,5.5,5,6.5,5.5,0.1031,-0.22,-0.0575,0.955,0,0.1555,0,0,0.07775
"29","59f7876cbe9c0c0001486c7d",2.64217603476597,1.17585424743287,0.391664381118844,0.414870231947747,0.441303956469062,0.395791954214123,0.5713526020237,"Male",62,"< 18.000£","Compulsory education",4.25,3.2,"left-leaning",5,1,1,1,1,1,1,1,2,1,2,2,2,1.33333333333333,1,1,1,1.5,1.5,2,0.6988837,-0.11,-0.0575,2.282,0.2726,0.1555,0,0,0.07775
"30","5a01d867074b1900012512ef",2.57050374461896,0.694045588687052,0.985893749531314,0.90039498778664,0.617612240103679,0.961999303712651,1.55631489344174,"Female",30,"23.001£ to 30.500£","Further education",2.25,3.6,"left-leaning",5,5,1,5,1,7,1,1,6,1,7,5,1,3.41666666666667,3,3,4,3.5,4,3,1.294697,-0.22,-0.0575,2.282,0.2726,0,0,0.36,0
"31","5a04ccfef2e3460001edadef",2.5570790248598,1.44866174426026,0.936613885470242,0.410865310316462,0.50364272294648,0.59461963785993,0.959763620464858,"Female",68,"23.001£ to 30.500£","Compulsory education",5.75,2.9,"right-leaning",8,7,2,6,7,7,1,5,7,4,7,7,4,5.33333333333333,4.5,6.5,4,6,5.5,5.5,0.6988837,-0.11,-0.0575,1.234,1.0872,0,0,0,0
"32","5a75d51a0f1bce0001219703",2.40896065959765,-0.0650124708963158,1.09241647508892,0.5488394530272,0.277174086129081,0.696357712308096,1.33288369279885,"Female",66,"23.001£ to 30.500£","Compulsory education",6,3.3,"left-leaning",3,4,2,6,6,7,2,3,7,7,7,7,6,5.33333333333333,3,6,4.5,5,7,6.5,0.1031,-0.33,-0.0575,2.282,0.2726,0.1555,0,0.9,0.07775
"33","5a7ace61eea3d300016e07fd",2.61284186046971,0.490479973588206,1.59053054845845,0.423110498811411,0.551961533835047,0.947874867275798,1.55347563361633,"Male",69,"> 45.001£","Higher education (Bachelor, Master, PhD)",5.75,3.8,"left-leaning",5,7,6,6,5,7,5,7,7,7,7,7,5,6.33333333333333,6.5,5.5,6,7,7,6,0.6988837,-0.22,-0.0575,1.431,1.0872,0,0,0.9,0
"34","5a913c1e6475f900019f8e5c",2.56716514474975,1.00202217656869,1.69287878604492,0.224552832296371,0.307080461015759,0.622483589812232,0.8704314379549,"Male",65,"< 18.000£","Higher education (Bachelor, Master, PhD)",6,3.2,"left-leaning",2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.6988837,-0.22,-0.0575,2.282,0.2726,0.1555,0.0729,0.36,0.1142
"35","5a9ca92b6219a30001f5351e",2.55553021109909,0.761253232833443,0.830080098735528,0.754767703194538,0.449656278130338,0.647113503745982,0.904499334858892,"Male",27,"< 18.000£","Higher education (Bachelor, Master, PhD)",4.5,4,"left-leaning",3,7,5,5,5,7,4,5,6,6,7,4,5,5.5,6,5,5.5,5.5,6.5,4.5,1.294697,-0.44,-0.0575,2.282,0,0.6201,0.2909,0,0.4555
"36","5ae5a3ff3ab2fb0001ef2b91",2.6319643330512,0.260936289179507,-0.950286116045037,0.253320401888912,0.176909884727721,-0.231954614004481,-0.31539980007599,"Male",34,"> 45.001£","Higher education (Bachelor, Master, PhD)",2,6,"right-leaning",10,2,1,1,1,2,1,1,4,1,7,5,1,2.25,1.5,1,1.5,2.5,4,3,1.294697,-0.44,-0.0575,2.282,1.0872,0.6201,0.2909,0.9,0.4555
"37","5ae8d7b596845f0001c7948d",2.5339708883705,0.737906912716424,1.18085648952703,0.797175038710668,0.618304898408372,0.783734353479082,1.09957353801242,"Female",59,"< 18.000£","Further education",4.25,3.4,"right-leaning",7,6,1,2,3,4,1,3,7,1,7,6,3,3.66666666666667,3.5,2.5,2.5,5,4,4.5,1.294697,-0.22,-0.0575,1.234,0.2726,0,0,0.9,0
"38","5aecb87ac09cd900015d7d7b",2.45080064660023,2.29976525872041,1.26758502668033,0.67808832384,0.316627545785497,0.661719847072716,0.974844341758747,"Male",32,"< 18.000£","Higher education (Bachelor, Master, PhD)",5.5,3.3,"left-leaning",4,4,3,6,5,7,1,2,5,4,4,5,3,4.08333333333333,3.5,5.5,4,3.5,4,4,1.294697,-0.22,-0.0575,2.282,0,0,0,0,0
"39","5af4579eb625f70001e0cfad",2.46621577929086,1.09876099842064,0.387587961793426,0.367698764287174,0.255715250029114,0.356659776496394,0.762510806754714,"Female",45,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",4.75,7.2,"right-leaning",6,6,2,2,1,5,3,2,4,2,4,3,2,3,4,1.5,4,3,3,2.5,1.294697,-0.33,-0.0575,2.282,0.2726,0.1555,0,3.59,0.07775
"40","5b03567dc573030001c36f1d",2.59716058051581,1.3736519589533,1.64042391261276,0.360099381862828,0.449585020957828,0.728022045639802,1.00239012183558,"Female",29,"< 18.000£","Higher education (Bachelor, Master, PhD)",6,4.2,"left-leaning",4,7,7,5,4,7,4,7,7,6,7,7,6,6.16666666666667,7,4.5,5.5,7,6.5,6.5,0.6988837,-0.22,-0.0575,0.955,0.2726,0.1555,0.2909,2.07,0.2232
"41","5b1386089663ee0001461b6e",2.54938148195725,1.54237476810506,0.878289863475968,0.573271111279597,0.596527432828097,0.688641530768404,1.08656718220218,"Male",49,"> 45.001£","Higher education (Bachelor, Master, PhD)",6,2.1,"left-leaning",3,7,5,7,6,7,3,2,7,5,7,7,5,5.66666666666667,6,6.5,5,4.5,6,6,0.1031,-0.22,-0.0575,2.282,0,0,0,0,0
"42","5b14265d30d562000155ea04",2.5155234452948,2.01426341285202,0.529549328801366,0.933325028024016,0.49182573869594,0.730242544903192,1.1876580376717,"Male",44,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",5.5,3.7,"right-leaning",6,7,2,7,4,7,1,1,6,4,6,7,3,4.58333333333333,4.5,5.5,4,3.5,5,5,1.294697,-0.33,-0.0575,2.282,0.2726,0,0.2909,0,0.14545
"43","5b1562981e55760001ba1e64",2.50068534339418,3.03179217820092,0.744441650747034,0.790398792091806,0.355613435251057,0.597566752753316,0.873832271617209,"Male",60,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,3.6,"right-leaning",6,7,6,7,7,6,7,4,7,1,4,4,6,5.5,6.5,7,6.5,5.5,2.5,5,1.294697,-0.22,-0.0575,2.282,0.2726,0,0,0.36,0
"44","5b19a21bfceed30001b57e6e",2.62030978532242,0.482657498540425,0.655173153936721,0.554384824951157,0.50692895329529,0.538915464410815,0.757753834759881,"Female",31,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",5.5,4.5,"right-leaning",6,7,4,5,1,7,1,1,6,6,7,6,4,4.58333333333333,5.5,3,4,3.5,6.5,5,1.294697,-0.22,-0.0575,2.282,0.2726,0,0,0.9,0
"45","5b2c0994f1ca3c000190196a",2.58570983538007,1.21353095144258,1.73631651804054,0.667392893575271,0.691588698978887,1.12099189260233,1.76503716447166,"Female",39,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",6,2.4,"right-leaning",7,3,4,5,6,6,4,7,6,7,7,7,7,5.75,3.5,5.5,5,6.5,7,7,1.294697,-0.33,-0.0575,1.234,0.2726,0,0,0,0
"46","5b4b0e8d94020800016323ed",2.44196603172291,1.65612231816421,1.32122098790431,0.665942887501834,0.0636323254894748,0.571449383657482,0.782208909794673,"Male",41,"30.501£ to 45.000£","Further education",5,5,"left-leaning",5,7,5,4,3,7,3,4,4,2,7,5,3,4.5,6,3.5,5,4,4.5,4,0.6988837,-0.22,-0.0575,2.282,0,0.1555,0.0729,2.07,0.1142
"47","5b4ce12a1fa5830001016869",2.5041183604793,1.23470593284413,0.949143107523646,0.312567264326064,0.303908145276519,0.518123764936638,0.924710067341698,"Male",48,"< 18.000£","Further education",2,3.9,"right-leaning",9,5,1,5,1,5,1,1,3,1,7,3,1,2.83333333333333,3,3,3,2,4,2,1.294697,-0.11,-0.0575,2.282,0.2726,0.1555,0.0729,0,0.1142
